NAME,DEPDOM,FED_RSSD,FEDCHRTR
Rippey Savings Bank,,291246,0
Iowa State Bank,,655343,0
Security State Bank,,975845,0
Buffalo Savings Bank,"29,601",764843,0
The First Trust & Savings Bank,,820749,0
First State Savings Bank,,755841,0
Raccoon Valley State Bank,,697848,0
Manson State Bank,"35,267",868442,0
Peoples Savings Bank,"33,553",868844,0
Guthrie County State Bank,"92,703",969844,0
Farmers State Bank,,729440,0
American State Bank,"510,226",735441,0
Brenton State Bank of Jefferson,,839442,0
Community State Bank,"115,860",849348,0
Commercial Savings Bank,"118,141",194440,0
Solon State Bank,"65,427",185448,0
Oakland Savings Bank,,256245,0
Pocahontas State Bank,"77,755",402846,0
Security State Bank,"68,902",425845,0
First State Bank of Mapleton,,867940,0
"Norwest Bank Atlantic, National Association",,883445,1
West Side State Savings Bank,,502643,0
American Interstate Bank,,758440,0
Community Bank,,483845,0
Ankeny State Bank,,790543,0
Farmers Savings Bank,,896641,0
Raccoon Valley Bank,"202,810",102342,0
Peoples Bank and Trust Company,,830944,0
State Savings Bank,"79,941",762045,0
Columbus Junction State Bank,"49,011",836544,0
Valley Bank & Trust,"59,046",943143,0
Pinnacle Bank,"140,407",365745,0
Luana Savings Bank,"492,470",674849,0
First Whitney Bank and Trust,"165,967",740249,0
Farmers and Merchants Savings Bank,"126,746",201647,0
Melvin Savings Bank,"50,383",764441,0
Commercial State Bank,,107048,0
Stock Yards Bank & Trust Company,"1,922,945",317342,0
Farmers Deposit Bank of Brandenburg,,971445,0
Citizens Bank,"112,728",840019,0
"Citizens Bank & Trust Company, Burgin, Kentucky",,974044,0
Farmers National Bank,,132219,1
Citizens Deposit Bank,,828549,0
Farmers Deposit Bank,"111,639",842116,0
Kentucky Farmers Bank Corporation,"128,426",683814,0
Peoples Bank and Trust Company,,444042,0
The First State Bank of Pineville,,418614,0
Southern Deposit Bank,,178347,0
Bank of Livingston County,,643144,0
Commercial Bank,,656911,0
"Morgantown Bank & Trust Company, Incorporated","125,637",330949,0
Bank of New Haven,,457949,0
West Side Savings Bank,,364515,0
Ascencia Bank,,460248,0
Kentucky National Bank of Pendleton County,,809212,1
The Bank of Whitesburg,,357610,0
Hyden Citizens Bank,"102,001",211114,0
Bank of Danville and Trust Company,,635448,0
Auburn Banking Company,"59,581",811541,0
United Community Bank,,447744,0
Simpson County Bank,,498540,0
Community Financial Services Bank,"536,047",698144,0
Farmers & Traders Bank of Campton,"37,816",839817,0
Bank of Hindman,"135,864",763211,0
"The First State Bank and Trust Company of Manchester, Kentucky",,781514,0
Jackson County Bank,"93,995",1016718,0
The Monticello Banking Company,"477,488",266945,0
Farmers National Bank of London,,488514,1
The Woodford Bank and Trust Company,,353416,0
Bank of Edmonson County,"170,836",903240,0
Lewisburg Banking Company,"86,893",580847,0
Peoples Deposit Bank & Trust Company,,498018,0
Bank of McCreary County,"106,772",425818,0
Clinton Bank,"39,107",782548,0
Bank of Fordsville,,1001246,0
Bank of Zachary,"170,384",860334,0
Landmark Bank,"91,505",535034,0
Bank of Gonzales,,670935,0
The Highlands Bank,"118,702",499538,0
Bank of Grand Cane,,120056,0
First Bank,,843636,0
American Gateway Bank,"262,152",893538,0
The Mer Rouge State Bank,"40,176",741956,0
Washington Bank and Trust Company,,668035,0
The Premier Bank of South Louisiana,,679835,0
Bank of Oak Grove,,750556,0
Peoples Bank of Durant,,148845,0
Holmes County Bank & Trust Company,"96,839",725741,0
The Bank of Sebastopol,,581433,0
Merchants & Planters Bank,,605544,0
Citizens Bank,"322,086",514132,0
The Bank of Edwards,,518336,0
Bank of Oxford,,965042,0
Merchants and Planters Bank,"76,735",579636,0
Southern Bancorp Bank,,973140,0
Maben Home Bank,,539443,0
First Citizens National Bank,,990941,1
Bank of Crenshaw,,24444,0
The Bank of Falkner,,682349,0
Merchants & Farmers Bank,,10531,0
"The Peoples Bank, Biloxi, Mississippi","463,377",870539,0
Western Bank of Wolf Point,"71,019",445852,0
Farmers State Bank,"288,061",475354,0
Bank of Montana Shelby,,565358,0
"Security State Bank, Harlem, Montana",,646350,0
Bank of Montana Glasgow,,643751,0
"Culbertson State Bank of Culbertson, Montana",,639455,0
"Stockman Bank, National Association",,668455,1
The Bank of Baker,"122,451",222558,0
First Security Bank of Glendive,,673954,0
"Norwest Bank Lewistown, National Association",,650254,1
The Whitehall State Bank,,445151,0
State Bank & Trust Co.,,641252,0
Stockmens Bank,"28,040",667252,0
"First State Bank of Stevensville, Montana",,474151,0
"Montana Bank of Roundup, N. A.",,624554,1
Security State Bank and Trust Company,,654056,0
"First Montana Bank, Inc.","238,771",613156,0
Teton Banks,"159,845",637750,0
The Farmers Bank of Seaboard,,549527,0
The Bank of Raeford,,963927,0
The Bank of Coleridge,,325329,0
Farmers Bank of Sunbury,,45225,0
Bank of Pittsboro,,653228,0
First State Bank,,206325,0
The Vinton Banking Company,,247421,0
The Ohio Valley Bank Company,"630,671",498317,0
The Citizens Bank,,363219,0
Richmond Bank and Trust Company,,619813,0
The Peoples Bank,"47,842",378110,0
The Freeport State Bank,,485513,0
Northwest Ohio Bank,,957113,0
The Clarksburg Commercial Bank,,647919,0
The Gnadenhutten Bank,,231813,0
The Liberty State Bank,,844428,0
The First National Bank of Nelsonville,,201124,1
The First State Bank,"26,394",514356,0
Security Bank and Trust Company,,990259,0
"The First State Bank, Willow, Okla.",,861050,0
Sooner State Bank,"144,413",534756,0
The Farmers State Bank,"77,784",647759,0
The Security Bank & Trust Company,,87551,0
Cleo State Bank,"78,433",155759,0
"The Liberty State Bank of Tahlequah, Oklahoma",,324957,0
The First State Bank,,234252,0
Clayton State Bank,,418753,0
The Bank of Crescent,,270157,0
United Oklahoma Bank,,692955,0
Gold  BANK,,360852,0
The Stock Exchange Bank,"239,470",958558,0
First State Bank,,74757,0
First Capital Bank,,3953,0
The First State Bank,,882354,0
High Plains Bank,"54,362",881852,0
The Citizens State Bank,"222,437",919755,0
Bank of Vici,"40,215",286251,0
Security State Bank,"154,401",58551,0
Bank of Commerce,"81,012",322850,0
The Citizens Bank,,712255,0
American Exchange Bank,,60358,0
American Exchange Bank,"55,661",811550,0
The Morris State Bank,"62,533",95659,0
The Bank of Red Oak,,463258,0
Security First National Bank of Hugo,"85,505",422657,1
Security State Bank,,650058,0
Bank of Healdton,,6552,0
The People's Bank of Oxford,,124513,0
First Lehigh Bank,,18313,0
SunBank,,281416,0
Merchants Bank (North),,410216,0
Green Ridge Bank,,405810,0
PS Bank,"229,908",597313,0
Mercer County State Bank,"292,145",866121,0
Saucon Valley Trust Company,,919214,0
Summit Hill Trust Company,,886017,0
The Bridgeville Trust Company,,111821,0
Penn Security Bank and Trust Company,"728,316",528616,0
Elizabethtown Trust Company,,144212,0
Continental Bank,,177014,0
"Farmers and Merchants Bank of Cherry Tree, Pa.",,311827,0
The Peoples Bank,,402051,0
First State Bank of Claremont,"49,823",99255,0
Security State Bank,"74,305",435255,0
First Western Bank,,353751,0
Western Dakota Bank,"31,405",128258,0
Security State Bank,,468459,0
Dacotah Bank,,205056,0
BankStar Financial,"58,098",109453,0
Marshall County Bank,,130055,0
First State Bank of Sinai,,324751,0
Springfield State Bank,,125659,0
Parker State Bank,,309057,0
Farmers and Merchants State Bank,"75,388",601153,0
Hamlin County Bank,,291554,0
Dakota Prairie Bank,"56,384",464255,0
Great Plains Bank,"86,123",589158,0
First State Bank,,476557,0
Granite Falls State Bank,,480778,0
Columbia Gorge Bank,,90672,0
Summit Bank,,124773,0
State Bank of Morton,,413075,0
Northwest National Bank,,698573,1
North Pacific Bank,,915270,0
The Jackson State Bank,,14258,0
"FirsTier Bank, Wyoming",,29159,0
First Interstate Bank,,92658,0
Saratoga State Bank,,93150,0
Farmers State Bank,"23,045",542854,0
Central Bank and Trust,"130,764",903950,0
"First National Bank, Torrington",,559852,1
The State Bank of North Jersey,,604305,0
Carteret Bank and Trust Company,,882309,0
United Jersey Bank/Northwest,,953106,0
People's Trust Company,,638001,0
United Jersey Bank/Central,,959407,0
Fort Lee Trust Company,,402604,0
The Bank of Sussex County,,988407,0
United Jersey Bank,,80703,0
Summit Bank,,80703,0
United Counties Trust Company,,375708,0
Fidelity Union Bank,,474601,0
Ridgefield Park Trust Company,,331405,0
"Community Bank of Bergen County, N. J.","269,403",275509,0
The Summit Trust Company,,298508,0
Suburban Trust Company,,870708,0
"Bankers Trust Company of Albany, National Association",,516006,1
Montgomery County Trust Company,,966209,0
Bank of Avoca,,62709,0
The State Bank of Belmont,,893305,0
"Fleet Bank of New York, National Association",,658700,1
Manufacturers and Traders Trust Company,"67,200,451",501105,0
HSBC Bank USA,,413208,0
First State Bank,,284408,0
The Cohocton State Bank,,43502,0
Chemung Canal Trust Company,"1,091,987",884303,0
Endicott Trust Company,,803304,0
"Long Island Trust Company, National Association",,772204,1
Tompkins Trust Company,"1,249,758",433608,0
Key Bank,,380001,0
Kingston Trust Company,,465207,0
Partners Trust Municipal Bank,,516305,0
Lewis County Trust Company,,322702,0
Bank of Millbrook,"189,007",175609,0
Amalgamated Bank,"2,609,642",661308,0
Deutsche Bank Trust Company Americas,"29,746,000",214807,0
The Chase Manhattan Bank (National Association),,748601,1
The Bank of New York,,541101,0
"JPMorgan Chase Bank, National Association","977,298,000",852218,1
Morgan Guaranty Trust Company of New York,,161415,0
American Bank & Trust Company,,669706,0
The Bank of New York Mellon,"126,639,000",541101,0
IBJ Whitehall Bank & Trust Company,,958615,0
Manufacturers Hanover Trust Company,,295310,0
Marine Midland Bank - New York,,158013,0
The Merchants Bank of New York,,378017,0
Trade Bank and Trust Company,,992413,0
United States Trust Company of New York,,934011,0
Ogdensburg Trust Company,,163914,0
Olean Trust Company,,752710,0
"Citibank (Central), National Association",,170417,1
Lincoln First Bank of Rochester,,804712,0
Five Star Bank,"2,423,281",601416,0
The Adirondack Trust Company,"892,627",645317,0
"Trustco Bank, National Association",,620211,1
Bank of Smithtown,,475215,0
Extebank,,919018,0
Key Bank of Central New York,,832818,0
Marine Midland Bank-Central,,750211,0
Marine Midland Bank - Northern,,109314,0
Bank of Westbury Trust Company,,599214,0
The County Trust Company,,355719,0
"PNC Bank, Delaware",,83311,0
The Bank of New Jersey,,398716,0
Princeton Bank,,797010,0
Bank of West Jersey,,655419,0
Swedesboro Trust Company,,926913,0
First Columbia Bank & Trust Co.,"460,109",881012,0
"The Union Banking & Trust Company of Du Bois, Pennsylvania",,237516,0
Dauphin Deposit Bank and Trust Company,,509512,0
