NAME,DEPDOM,FED_RSSD,FEDCHRTR
"The Peoples State Bank of Luray, Kansas",,137157,0
Community Bank,,676852,0
The Baxter State Bank,"19,889",1000856,0
Carrollton Bank,,854520,0
Shawmut Melrose-Wakefield Bank and Trust Company,,1007604,0
The Montrose State Bank,,610847,0
Renasant Bank,"4,843,012",749242,0
Peoples Bank & Trust Company,"54,841",857147,0
Bank of Flora,,702537,0
Hancock Bank,"5,102,487",463735,0
Union Planters Bank of Mississippi,,156943,0
State Bank of Cold Spring,"46,230",116358,0
Goodman State Bank,,895952,0
Commerce Bank of Festus,,824952,0
First Financial Bank of Scott County,,728256,0
"UMB Bank, Boonville",,890041,0
Commerce Bank of Excelsior Springs,,890153,0
The Citizens Bank of Edina,"55,484",699253,0
"UMB Bank, Northwest",,298254,0
The Citizens Bank of Sparta,,369257,0
"The Farmers State Bank of Barry County, Exeter, Missouri",,957953,0
Bank of Freeburg,,1016754,0
American Bank of North Central Missouri,,553458,0
First Sun Bank of America,,955856,0
The Cotton Exchange Bank,,642558,0
Bank of Ste. Genevieve,,458357,0
Centerre Bank of Springfield,,494953,0
Citizens National Bank,,489454,1
Bank of Thayer,"68,393",437455,0
Farmers State Bank and Trust Company of Superior,,385958,0
Burlington County Trust Company,,966610,0
The Freedom State Bank,"19,870",187358,0
First Oklahoma Bank,"221,895",75259,0
The Payne County Bank,"108,954",455150,0
Sutton State Bank,,571153,0
Farmers and Merchants Bank,,196350,0
Premier Bank,"115,825",860259,0
Bank of Auburn,,974138,0
Ashland City Bank and Trust Company,,735339,0
Pioneer Bank,,851332,0
Citizens State Bank,"588,472",54656,0
Collinsville State Bank,,946957,0
Texas State Bank,"112,283",926155,0
Citizens Bank,,202952,0
Industry State Bank,"503,386",733054,0
FirstBank,,634852,0
The Bank of Chatham,,622420,0
Alliance Bank,"137,003",21658,0
Community First Bank,"56,062",62147,0
Heritage Bank,"87,323",114149,0
Ixonia Bank,"247,216",529341,0
Securant Bank & Trust,"168,564",196743,0
M&I Community First Bank,,233844,0
First Bank Financial Centre,"648,655",806846,0
Commercial Bank,"89,951",90645,0
Pierce County Bank and Trust Company,,163259,0
Mount Calvary State Bank,,213444,0
Citizens State Bank,,210845,0
The Trust Company of New Jersey,,31303,0
Bank of Quitman,,924544,0
The First Bank,,262442,0
Bank of Mountain View,,554848,0
The Peoples Bank,"80,593",712648,0
The Bank of Rector,,669546,0
Union National Bank of Arkansas,,131548,1
Union Trust Company of the District of Columbia,,744528,0
Crestar Bank,,47920,0
"Signet Bank, National Association",,989628,1
"Citizens Bank of Washington, National Association",,474320,1
"First State Bank of Beardstown, Illinois",,433439,0
State Bank of Cuba,,227432,0
Bank of Calhoun County,"59,797",960047,0
Heritage Bank of Central Illinois,"230,291",181347,0
First Southern National Bank of the Bluegrass,,1917963,1
The Peoples Bank,,834540,0
First State Bank of Cosmos,,404550,0
New Brunswick Trust Company,,980700,0
The Huntington Bank of Ashland,,170510,0
AmeriTrust Company of Portage County,,1010622,0
The Miami Deposit Bank,,361327,0
PremierBank & Trust,,1007314,0
The Hopeton State Bank,"19,704",877958,0
Deseret Bank,,585673,0
The Converse County Bank,"382,724",72258,0
Security State Bank,"262,407",955959,0
The Pueblo Bank and Trust Company,"279,998",106452,0
Summit Bank of South Bend,,930040,0
Chrisney State Bank,,10447,0
THE PRAIRIE STATE BANK,,985956,0
Farmers and Drovers Bank,"140,294",788559,0
Community State Bank,,930956,0
First United Bank,,670056,0
Bank of Bernice,,915159,0
City Bank & Trust Co.,"205,619",841753,0
Patterson State Bank,"183,671",85931,0
St. Martin Bank and Trust Company,"343,632",841539,0
The Evangeline Bank and Trust Company,"470,039",372538,0
ArgentBank,,368634,0
Community Trust Bank,"2,668,371",667757,0
Ruston State Bank & Trust Company,,201058,0
Legends Bank,"219,937",865151,0
Heritage State Bank,"95,855",307950,0
Mercantile Bank of Ste. Genevieve,,348355,0
Perry State Bank,,394053,0
Bank of Washington,"559,610",565750,0
Bank of Bismarck,,571845,0
The Bank of Bunker,,832041,0
Citizens State Bank of Calhoun,,580445,0
American Bank of Marceline,,809258,0
The Central Trust Bank,"1,439,055",853952,0
Landmark Central Bank & Trust Company,,219558,0
First State Bank,,989356,0
The Bank of Cresbard,,586559,0
Dakota Heritage State Bank,,100553,0
First Western Bank,,463753,0
Farmers State Bank of Mellette,,351654,0
"Farmers State Bank, of Kranzburg, S. D.",,471851,0
First State Bank,,79958,0
Citizens Trust Bank,,673525,0
United Virginia Bank/Peoples of Gretna,,141828,0
Virginia National Bank/Richmond,,199726,1
United Virginia Bank/Citizens & Marine,,769428,0
"One Valley Bank, Inc.",,773939,0
Greenleaf Wayside Bank,"68,191",675248,0
"Citizens Bank and Trust Company of Baytown, Texas",,203856,0
Aliceville Bank & Trust Company,,738938,0
Williams Savings Bank,,443045,0
Pawnee County Bank,,914358,0
Southern Arizona Bank and Trust Company,,34658,0
Harlan County Bank,,970251,0
Signet Bank-Maryland,,215420,0
Parish Bank and Trust Company,,897545,0
Mercantile Bank of Western Missouri,,748450,0
The Southern Ohio Bank,,569516,0
First Bank & Trust,,243067,0
The Utica Savings Bank Company,,237628,0
INB Banking Company Southwest,,27445,0
"Bank of Kansas City, National Association",,3445170,1
Central Bank - Herington,,933555,0
The Montezuma State Bank,"92,953",513957,0
Centerre Bank of Florissant,,901750,0
Citizens Community Bank,"101,302",578554,0
Simmons First Bank of Searcy,"128,574",966348,0
Legacy Bank,"213,912",478252,0
The Felton Bank,,238812,0
Kent Bank,"73,456",950936,0
"The Farmers and Merchants State Bank of Virden, Illinois",,139544,0
State Bank of Waterloo,"117,054",266244,0
Harcourt Savings Bank,,726841,0
Mondamin Savings Bank,,766548,0
Hawkeye Bank of Vinton,,125341,0
Hudson State Bank,,980241,0
Walcott Trust and Savings Bank,"84,038",495044,0
Bridge Community Bank,"67,138",882541,0
The Planters Bank & Trust Company,,119854,0
Commercial Bank & Trust Company,,536639,0
Sicily Island State Bank,"32,501",1002458,0
Livermore Falls Trust Company,,324706,0
Bank of Crisfield,,939324,0
Independent Bank East Michigan,,144043,0
Chemical Bank Bay Area,,40145,0
"First Integrity Bank, National Association",,203753,1
The Hernando Bank,,166045,0
Bank of Coffey,,236340,0
Elba State Bank,,423953,0
Lexington State Bank and Trust Co.,,103059,0
Bank of Prague,"18,637",858452,0
"First Security Bank, Underwood",,894058,0
"First American Bank, National Association",,679853,1
"The Citizens Bank of Higginsport, Ohio",,891721,0
First State Bank,"38,960",513854,0
"Farmers State Bank, Allen, Oklahoma","35,901",37659,0
F & M Bank,"253,722",163857,0
Guaranty Bond State Bank,,649669,0
First United Bank,"908,480",578255,0
Kamas State Bank,,33576,0
Bank of American Fork,"899,813",984379,0
Richfield Commercial and Savings Bank,,249676,0
Bank of Milton,,889139,0
Bank of Osseo,,28451,0
State Bank of Withee,,91147,0
"AMCORE Bank, Argyle",,19440,0
Hometown Bank,"173,334",63742,0
M&I Northern Bank,,198840,0
State Bank of Francis Creek,,724641,0
M&I Central State Bank,,61645,0
Valley Bank Richland Center,,269647,0
Bank of Turtle Lake,"60,241",777553,0
The Black Earth State Bank,,33549,0
The Baraboo National Bank,"582,394",24949,1
Citizens State Bank,,28040,0
The Woodhouse & Bartley Bank,,454742,0
F & M Bank-Lancaster,,661540,0
The Reedsburg Bank,,268042,0
"Valley Bank, Sauk Prairie",,165646,0
Peoples Marine Bank of Green Bay,,734846,0
Valley Bank East,,388249,0
Dairyman's State Bank,,267540,0
"Bank One, Fond du Lac",,581442,0
F & M Bank East Troy,,63041,0
Rio-Fall River Union Bank,,471440,0
First Interstate Bank of Wisconsin,,914040,0
Old Kent Bank of Petoskey,,884947,0
M&I First American Bank,,820945,0
Peoples State Bank,"455,872",262844,0
"Home State Bank, National Association","513,119",696430,1
"Old Kent Bank, National Association",,544634,1
"Castle Bank Harvard, National Association",,753931,1
NBD Park Ridge Bank,,651943,0
Salin Bank,,573540,0
"INB Banking Company, North",,116844,0
"INB Banking Company, Northeast",,127541,0
Community First Bank,,77347,0
"The Farmers Bank, Frankfort, Indiana","369,403",423449,0
The Farmers State Bank,,43641,0
First State Bank of Porter,"145,787",87047,0
Bank of Western Indiana,,82042,0
First Farmers Bank and Trust Company,"926,791",139843,0
"Ameritrust Bank, Howard County",,368746,0
"FIFTH THIRD BANK, INDIANA",,976749,0
Peoples Loan & Trust Bank,,754648,0
Monroe Bank,,220545,0
The Merchants National Bank of Terre Haute,,996448,1
People's Bank and Trust Company,,178749,0
Centier Bank,"1,990,286",783648,0
Farmers State Bank,"434,220",840747,0
Denver Savings Bank,"117,461",220844,0
Farmers Trust and Savings Bank,"274,193",543945,0
Victor State Bank,"35,359",616849,0
BankIowa,,737548,0
"Norwest Bank Cedar Falls, National Association",,196949,1
United Bank of Greeley,,181150,0
"Wells Fargo Bank Grand Junction-Downtown, National Association",,2383882,1
Swedish-American State Bank,"36,722",973252,0
Arrowhead State Bank of Kansas City,,259451,0
The Rexford State Bank,,310651,0
Farmers Bank and Trust Company,"105,477",262741,0
The Provident Bank of Kentucky,,943518,0
Pepperell Bank & Trust,,469308,0
Katahdin Trust Company,"541,866",327305,0
1st Consumers Savings Bank,,503800,0
The Bank of Brandywine,,779829,0
The Fidelity Bank,,773126,0
"NationsBank, National Association",,834821,1
Westminster Union Bank,,526229,0
The Peoples Bank,"202,756",750127,0
NBD Alpena Bank,,576046,0
Central Michigan Bank,,15349,0
Chemical Bank Michigan,,960542,0
Branch County Bank,,633145,0
First State Bank of Decatur,"45,562",654047,0
Bank of the Commonwealth,,972844,0
City Bank and Trust Company,,246349,0
Marine Bank & Trust,,601144,0
Mayville State Bank,"80,815",358448,0
First of America Bank-Muskegon,,495343,0
Old Kent Bank-Central,,445441,0
The Empire National Bank of Traverse City,,537542,1
First of America Bank-Central,,453549,0
NBD Sandusky Bank,,641542,0
Manufacturers Bank of Lansing,,175542,0
"BREMER BANK, NATIONAL ASSOCIATION","530,753",268556,1
"Bremer Bank, National Association","277,144",275750,1
"BREMER BANK, NATIONAL ASSOCIATION",,398556,1
"BREMER BANK, NATIONAL ASSOCIATION",,376059,1
Viking Bank,,949051,0
State Bank of New Prague,"94,900",873950,0
Anchor Bank Saint Paul,,859851,0
"Bremer Bank, National Association","2,472,278",800657,1
County Trust Company,,902300,0
The South Amboy Trust Company,,10009,0
Dutchess Bank and Trust Company,,742917,0
Steuben Trust Company,"356,096",929802,0
State Bank of Chittenango,"132,074",103602,0
Dundee State Bank,,56306,0
Orange County Trust Company,"504,333",176101,0
Central Trust Company,,801010,0
Bank of Richmondville,"115,557",767611,0
The Citizens Central Bank,,355607,0
Cattaraugus County Bank,"163,626",254504,0
The Bank of Bladenboro,,598628,0
The Huntington Bank of Wood County,,741415,0
The Exchange Bank Company,,761815,0
AmeriTrust Company of Stark County,,813817,0
The Union Bank Company,"462,450",780218,0
"The Metropolitan Bank of Lima, Ohio",,804721,0
Bank One of Mount Sterling,,198822,0
The Peoples Bank,,365222,0
"National City Bank, Norwalk",,213426,1
The Richwood Banking Company,"374,529",150727,0
Akron National Bank,,142012,1
The Corn City State Bank,"49,930",560214,0
The Kenton Savings Bank,,832126,0
The Citizens Banking Company,"954,076",542528,0
CommunityBanks,,138211,0
Elderton State Bank,"173,883",282824,0
Bank of Hanover and Trust Company,,438715,0
Farmers & Merchants Bank,,526210,0
The Armstrong County Trust Company,,975621,0
The Morrisville Bank,,37510,0
Security Bank and Trust Company,,70012,0
Farmers Bank and Trust Company of Hanover,,159113,0
The Citizens State Bank,,645951,0
Ennis State Bank,"119,214",435059,0
"MBank Pasadena, National Association",,836469,1
The Pecos County State Bank,"177,072",396954,0
"Eagle Rock Bank, Inc.",,172224,0
First and Citizens Bank,"106,568",762625,0
First Community Bank,"2,005,456",2353595,0
Bank of Athens,,806127,0
The Farmers and Citizens State Bank,,639727,0
"Mason County Bank of New Haven, W. Va.",,959434,0
"Bank of Mount Hope, Inc.","97,713",352820,0
Miners & Merchants Bank,"41,955",913436,0
Wellsburg Banking and Trust Company,,598329,0
First Exchange Bank,"184,289",170332,0
Dairyland State Bank,"72,002",444958,0
Wisconsin Bank & Trust,"545,163",463342,0
Northwestern State Bank,,156756,0
Farmers Savings Bank,"217,901",205346,0
Security State Bank,,520151,0
The State Bank of Lime Ridge,,577146,0
Lincoln State Bank,,969349,0
Mitchell Bank,"47,220",761347,0
Pigeon Falls State Bank,"64,185",37051,0
Rosendale State Bank,,1010640,0
Citizens First Bank,"141,358",716954,0
The Farmers State Bank of Waupaca,"144,351",879747,0
M&I Bank of Oshkosh,,44947,0
First Wisconsin South West Bank of Sheboygan,,275648,0
Valley Bank,,727941,0
M&I Bank of Southern Wisconsin,,728443,0
Valley Badger Bank,,58645,0
State Bank of Stockbridge,,118343,0
Farmers & Merchants Bank,"165,033",2040,0
State Financial Bank-Waterford,,194646,0
First Interstate Bank of Wisconsin,,88848,0
The American Bank,,502951,0
Dairyman's State Bank,,461245,0
Park Bank,"38,505",518354,0
Citizens Bank of Mukwonago,"590,217",783844,0
Bank of North Freedom,,240347,0
Hiawatha National Bank,"101,326",505550,1
Farmers and Merchants Bank,,739542,0
Baylake Bank,"765,060",280044,0
Farmers State Bank,,145246,0
Kennebunk Savings Bank,"765,553",247908,0
Heritage Savings Bank,,308902,0
Mercantile Bank of St. Louis National Association,,626446,1
Community Bank and Trust,"247,941",957757,0
Town & Country Bank,"425,870",487357,0
"Commerce Bank, National Association",,371054,1
Assumption Bank and Trust Company,,943433,0
Hudson City Savings Bank,"22,212,386",564605,1
County Trust Company,,1005404,0
"Fidelity Union Bank, National Association, Garden State",,540001,1
Bank of Gouverneur,,851109,0
"Algonquin State Bank, National Association","122,842",585235,1
Simmons First Bank of Russellville,"147,044",459046,0
Bank of Chidester,,630443,0
First Western Bank,"255,984",34742,0
FirstBank of Longmont,,365651,0
American National Bank and Trust Company of Muncie,,999748,1
1st Source Bank of Marshall County,,387242,0
Elston Bank & Trust Company,,86246,0
The Dale State Bank,,76845,0
Indiana Bank and Trust Company of Fort Wayne,,508243,0
Summit Bank of Clinton County,,493349,0
"Bank One, Merrillville, National Association",,479642,1
Peoples Bank & Trust Company,,102744,0
Morocco State Bank,,16243,0
National City Bank of Southern Indiana,,303345,1
The Cass County State Bank,,751348,0
American Trust & Savings Bank,,814748,0
First of America Bank-Indiana,,68644,0
Lake City Bank,"2,445,678",874845,0
East Enterprise State Bank,,200949,0
The Elberfeld State Bank,"56,131",16748,0
"Citizens State Bank of New Castle, Indiana","372,845",1000641,0
Jackson County Bank,"333,014",884442,0
"The First State Bank, Bourbon, Indiana","66,636",447342,0
Hendricks County Bank and Trust Company,"130,087",633640,0
Owen County State Bank,"147,822",38740,0
Peoples Trust and Savings Bank,"111,825",67142,0
Citizens State Bank,,317641,0
The Saratoga State Bank,,919643,0
Hancock Bank & Trust,,562441,0
Indiana Lawrence Bank,,978846,0
Rising Sun State Bank,,91343,0
State Exchange Bank,,914947,0
Peoples Trust Company,,229146,0
Norwest Bank Peru,,54946,0
The Friendship State Bank,"280,061",427241,0
Summit Bank of Hamilton County,,921440,0
"Ameritrust Bank, Boone County",,118549,0
"Society Bank, Winamac",,846749,0
Anderson Banking Company,,557344,0
Citizens First State Bank of Hartford City,,240141,0
The Madison Bank and Trust Company,,299448,0
Citizens State Bank,,724043,0
Farmers-Central Bank,,752943,0
Community Bank,"224,380",70049,0
American Trust & Savings Bank,"751,954",596848,0
Magna Bank,,923846,0
Farmers State Bank,,843346,0
Urbana Savings Bank,,614742,0
"The Farmers State Bank, Ingalls, Kansas",,691051,0
Gold Bank,,579252,0
The Bank of Wilber,,728751,0
Kanza Bank,"161,753",4156,0
The Citizens State Bank,,516556,0
Topeka Bank and Trust Company,,62156,0
The Farmers and Merchants State Bank of Rush County,,8350,0
Bank of Germantown,,609618,0
The Jefferson Banking Company,,2244808,0
Farmers Bank of Petersburg,,379416,0
Bank of Loretto,,651644,0
The Fort Thomas-Bellevue Bank,,759317,0
Bank of Clarkson,"105,035",720344,0
Leitchfield Deposit Bank & Trust Company,"86,999",643546,0
The Merchants & Farmers Bank,,146533,0
"First Commercial Bank, Franklin, Louisiana",,482530,0
Bank of New Roads,,80132,0
Federal Trust Company,,115801,0
Key Bank of Eastern Maine,,355803,0
Northeast Bank of Lincoln,,324005,0
United Bank & Trust,"812,160",401148,0
First Community Bank,"204,318",932745,0
First of America Bank - Livingston,,877341,0
Trustcorp Bank,,158442,0
Security State Bank of Mankato,,849254,0
Centerre Bank of Crystal City,,764852,0
Boatmen's Bank of Pulaski County,,241755,0
Centerre Bank of St. Peters National Association,,609654,1
First Bank,,721453,0
Bank of Montana Big Sandy,,873558,0
Bank of Niobrara,,459756,0
Avery County Bank,,932820,0
Union State Bank of Hazen,"97,738",855956,0
Peoples State Bank,"61,443",238250,0
Cornerstone Bank,"195,209",743857,0
Northland Financial,"169,286",889652,0
Litchville State Bank,,682152,0
The Beach City Banking Company,,115119,0
"The Edon State Bank Company of Edon, Ohio","52,503",804815,0
The Fort Jennings State Bank,"141,440",830113,0
Society Bank of Southern Ohio,,299215,0
The Peoples State Bank,,416816,0
The Mount Union Bank,,166616,0
The Savings Bank,"264,500",578116,0
The Peoples Bank Co.,"377,949",702911,0
The Dime Bank of Northwest Ohio,,722218,0
The Firestone Bank,,35226,0
"The Citizens Bank of Ashville, Ohio","83,792",106519,0
The Bergholz State Bank Company,,731210,0
"Fifth Third Bank, Ohio Valley",,817525,0
The Citizens Banking Company of East Palestine,,940115,0
Security State Bank,"322,152",111979,0
Bank of Olympia,,928775,0
The San Juan County Bank,,539573,0
Half Dollar Trust and Savings Bank,,601724,0
Associated Bank South Central,,726346,0
Sharon State Bank,,334143,0
Denmark State Bank,"341,335",222446,0
"Evergreen Bank, National Association",,996242,1
Farmers & Merchants State Bank,"112,353",79145,0
North Side State Bank of Rock Springs,,551454,0
The Farmers & Merchants Bank of Sheyenne,,702555,0
Harris Bank St. Charles,,516042,0
Citizens Bank and Trust,,121259,0
The State Savings Bank of Manistique,"93,672",259956,0
Wyandotte Savings Bank,,555041,0
Chambers State Bank,"26,886",416357,0
Pinnacle Bank,,504955,0
Frenchman Valley Bank,,664859,0
Midwest Bank National Association,"495,292",669555,1
David City Bank,,574855,0
Farmers State Bank,"45,968",727156,0
Bank of Luxemburg,"228,387",580548,0
Valley Bank Brooklyn,,176745,0
M&I Bank of Mayville,,418847,0
Valley Bank of Seymour,,273541,0
M&I Bank of La Crosse,,173454,0
F & M Bank-Potosi,,144744,0
Badger State Bank,,216445,0
Mid-Wisconsin Bank,,645054,0
Bank of Commerce,"126,075",152057,0
"Huntington Bank Parkersburg, Inc.",,963338,0
The Bank of Matamoras,,196912,0
Homer City State Bank,,966320,0
East Prospect State Bank,,247711,0
South Paris Savings Bank,,153009,0
Bank of Akron,"217,481",452104,0
The Bank of Castile,"922,411",165806,0
Solvay Bank,"598,629",722816,0
Wyoming County Bank,,464116,0
Zia New Mexico Bank,,655455,0
"SUNWEST Bank of Rio Arriba, National Association",,563055,1
Rice Growers Bank,,136244,0
Bank of England,"198,732",244149,0
Arkansas Diamond Bank,,522146,0
The New Washington State Bank,"213,905",305442,0
The State Bank and Trust Company,"523,956",614313,0
The Ft. Recovery Banking Company,,769811,0
The Croghan Colonial Bank,"521,087",362717,0
The Fremont Savings Bank Company,,489717,0
The Merchants Bank and Trust Company,"183,435",168441,0
The Loramie Banking Company,,894414,0
The Amsterdam State Bank,,211815,0
Exchange Bank and Trust Company,"224,540",456755,0
Bank of Batesville,,654944,0
The First State Bank of La Moure,,865058,0
Peoples Bank of Clymer,,154529,0
Trenton Trust Company,,1002412,0
MidAmerica Bank Stoughton,,341749,0
F&M Bank,,496171,0
American Bank of St. Louis,,355951,0
Fall River Trust Company,,896100,0
Community Trust Bank,"73,432",484141,0
Northeast Missouri State Bank,"80,485",651158,0
Farmers and Merchants State Bank of Springfield,"101,687",770451,0
State Bank of Springfield,,831754,0
First National Bank in Gouverneur,,999001,1
National Bank of Montpelier,,481225,1
"Bank One, Wheeling-Steubenville, National Association",,55019,1
Norstar Bank of Commerce,,320810,0
Bankers Trust of Binghamton,,21407,0
Bank of Utica,"750,557",254317,0
Bank of Buffalo,,769204,0
Royal National Bank of New York,,62512,1
Central National Bank of New York,,584201,1
Farmers State Bank,"353,810",875057,0
Security Bank,"681,417",641355,0
Northwestern Bank,"171,184",274548,0
The State Bank of Stella,,473453,0
Kaw Valley State Bank,"36,319",651354,0
Farmers and Merchants Bank,"50,460",257653,0
Oklahoma State Bank,"50,158",324256,0
Farmers & Merchants Bank,,417242,0
Union Bank and Trust Company,"2,246,391",450856,0
Montpelier National Bank,,394905,1
SCBT,"6,674,482",540926,0
"NBC Bank Central, National Association",,828455,1
Wadena State Bank,"98,918",210256,0
The Planters Bank & Trust Company,,320735,0
Adrian State Bank,,569543,0
The Armada State Bank,,523545,0
Affiliated National Bank - Craig,,907556,1
First Wisconsin Bank of Two Rivers,,129040,0
Citizens State Bank of Montgomery,,698359,0
First State Bank,,410654,0
United New Mexico Bank,,755654,0
Capitol Marine Bank,,679040,0
"NationsBank of Kentucky, National Association",,626848,1
Blencoe State Bank,"35,457",886044,0
Keybank National Association,,117159,1
State Financial Bank,,925840,0
The Fowler State Bank,"56,295",843953,0
Royal Bank,"262,037",532042,0
Belt American Bank of St. Joseph,,289654,0
Lee County Bank,,964531,0
The State Exchange Bank,"33,888",354851,0
Firstar Bank Green Bay,,922148,0
"First State Bank of Gilman, Incorporated",,18658,0
The Citizens National Bank in Independence,,817552,1
"Texas Commerce Bank-Austin, National Association",,185550,1
Fleetwood Bank,"201,015",551016,0
Bloomburg State Bank,"11,885",218757,0
Bank of De Soto,,706647,0
Bank of Sun Prairie,"250,601",124344,0
The First National Bank of Powhatan Point,"39,628",138725,1
The Hoxie State Bank,,684558,0
De Soto State Bank,,224543,0
State Bank of Rainier,,844875,0
Associated Valders Bank,,192549,0
The Bank of Whitewater,"19,338",370758,0
The Turon State Bank,,426954,0
Union Bank of Blair,"70,341",506052,0
The Farmers State Bank of Potter,,53547,0
State Bank of Nauvoo,"31,365",783349,0
F&M Bank-Prairie Du Chien,,263346,0
The Tampa State Bank,"41,021",358756,0
Mainstreet Bank,"49,132",894245,0
The Belle-Bland Bank,,762849,0
"Farmers Bank of Northern Missouri, National Association",,303952,1
State Exchange Bank,,995058,0
Merchants & Planters Bank & Trust Co.,,99545,0
First National Bank,,94447,1
The First National Bank in Ontonagon,,265555,1
Arvest Bank,,435451,0
The Miners' First National Bank & Trust Company of Ishpeming,,256955,1
First State Bank of Edgerton,,592149,0
First-Lockhart National Bank,"164,011",631150,1
POINTWEST BANK,"87,857",292467,0
"UMB Bank, National Association",,936855,1
"Bank IV Great Bend, National Association",,855152,1
The Nekoma State Bank,"34,366",331553,0
The Peoples State Bank,,355054,0
The Alexander State Bank,,544353,0
The Murdock State Bank,,514459,0
First Bank,,366443,0
Bank of Mead,"25,000",175458,0
United Nebraska Bank,,132059,0
Corydon State Bank,"75,323",837046,0
Bank of Hunnewell,,847951,0
The Timken State Bank,,53556,0
First State Bank,"174,638",151957,0
The Bank,,670140,0
Farmers & Stockmens Bank,"113,883",622653,0
Farmers State Bank,,980456,0
Mercantile Bank of North West Missouri,,372453,0
First State Bank,"161,189",114840,0
The First National Bank in Punta Gorda,,961138,1
Citizens State Bank of Gibbon (Incorporated),,49755,0
Community Bank,,317351,0
Farmers & Merchants Bank of Elmo,,767657,0
The First National Bank of Dickson City,,474218,1
The Merchants National Bank of Terre Haute,,996448,1
Pine Country Bank,"149,114",761459,0
Bank Windsor,,718350,0
Bank of Zumbrota,"117,870",903455,0
Farmers Savings Bank,,372248,0
United Community Bank,"167,596",884648,0
Farmers Savings Bank,,534644,0
Lincoln County Bank,,718631,0
Minden Bank & Trust Company,,188551,0
The Whaples and Farmers State Bank,,4745,0
"Farmers and Merchants State Bank, Bloomfield, Nebraska","112,642",411651,0
Community Bank of Central Wisconsin,,587743,0
Keystone Bank,,127626,0
First State Bank,,436654,0
Home State Bank,,192660,0
Burton State Bank,"46,931",304155,0
Farmers State Bank,,829966,0
Merchants State Bank,,109864,0
Park State Bank,,766043,0
KeyBank National Association,,514963,1
"Firstmerit Bank, National Association","19,619,818",67311,1
The Salt Creek Valley Bank,,838427,0
North Middletown Deposit Bank,,490713,0
First State Bank,"35,933",976347,0
First National Bank of La Grange,"292,110",766735,1
"Horizon Bank, National Association",,817516,1
The Dawson Bank,,421856,0
The Bank of Perry,,299158,0
"The Farmers State Bank of Norwich, Kansas",,517058,0
Brunswick State Bank,"71,450",413758,0
"Corus Bank, National Association",,259031,1
Mercantile Bank of the Mineral Area,,710756,0
F&M Bank of Dousman,,225045,0
Nebraska State Bank,"13,243",70955,0
The Olpe State Bank,"32,162",396356,0
The Farmers National Bank of Conneautville,,404729,1
"First City, Texas - Houston, National Association",,3850,1
Greenville National Bank,"321,137",295011,1
National Bank of Monongah,,952631,1
Junction State Bank,,656041,0
Bank of Palmer,"36,401",182353,0
The Libertyville Savings Bank,"172,511",857745,0
Goldfield State Bank,,567848,0
Mendon State Bank,,508047,0
The State Bank,"65,560",550448,0
The Middlefield Banking Company,"512,833",177920,0
"Wells Fargo Bank Northwest, National Association","12,781,000",688079,1
Scranton National Bank,,278014,1
Hampton State Bank,"57,786",727343,0
The State Bank of Hildreth,"27,516",158750,0
Farmers State Bank,,81652,0
Farmer's Bank of Polo Missouri,,335551,0
Prescott State Bank,"12,059",469250,0
"Commerce Bank, National Association",,647254,1
The Blue Springs State Bank,,1001657,0
Commercial State Bank of Bonner Springs,,5050,0
Countryside Bank,,269656,0
Savings Bank,"133,645",588348,0
Maynard Savings Bank,"41,142",1009840,0
Farmers & Merchants Bank & Trust,"164,744",888141,0
Union National Bank,,650133,1
"First Commercial Bank, National Association",,951447,1
"Union National Bank of Arkansas, Little Rock, Arkansas",,68046,1
"First RepublicBank Cleburne, National Association",,861751,1
Chase Manhattan Bank of Western New York (National Association),,377001,1
First Westchester National Bank,,119706,1
Empire National Bank,,341507,1
The Upstate National Bank,"72,120",313009,1
"City National Bank and Trust Company, Hastings, Nebraska",,557456,1
"Bank One, West Virginia, Logan, National Association",,102137,1
Union State Bank of Clinton,,508346,0
Pullman Bank of Commerce & Industry,,216735,0
Blue Grass Savings Bank,"146,626",794345,0
Northern Central Bank,,46811,0
Ellis First National Bank in Tarpon Springs,,445535,1
Mercantile Bank of Sterling-Rock Falls National Association,,263944,1
Farmers and Merchants Bank of Carlinville,,815044,0
American Bank of Higginsville,,972554,0
First National Bank,,523956,1
"Bank IV McPherson, National Association",,147352,1
Myersville Bank,,44424,0
Exchange State Bank,,681744,0
Hillsboro Savings Bank,,732842,0
Benton County State Bank,"27,075",824242,0
Farmers State Bank,"113,401",105530,0
Citizens Union Bank,,830038,0
Mercantile County Bank,,610623,0
Bank of Pleasanton,,467153,0
Century National Bank of Santa Rosa,,255435,1
The First National Bank of Norway,"79,916",289056,1
Central Bank of Missouri,"72,059",491251,0
"Concordia Bank of Concordia, Missouri","52,238",164957,0
Meridian Bank,,159243,0
Bank of Lockesburg,,11341,0
"First Security Bank of Idaho, National Association",,637068,1
McIntosh County Bank,"67,592",720858,0
Farmers State Bank,"24,576",160557,0
Bank of Taylor,,572758,0
First National Bank in Fredonia,"81,485",844455,1
Farmers and Merchants Bank,"107,447",372640,0
The Twin Valley Bank,"40,881",381026,0
"United Missouri Bank of St. Louis, National Association",,823357,1
The First Bank of Marietta,,518626,0
Minnstar Bank National Association,"98,775",89854,1
"Anchor Bank Heritage, National Association",,724351,1
Northern National Bank,,394754,1
First National Bank in Clarksville,,755953,1
First National Bank in Pinckneyville,"64,827",340443,1
