NAME,DEPDOM,FED_RSSD,FEDCHRTR
"Merchants & Farmers Bank of Greene County, Alabama","50,810",376237,0
State Bank & Trust,"177,192",386731,0
Bank of York,"67,619",359838,0
SunTrust Bank,"131,670,970",675332,0
State Bank of Cochran,"178,509",333034,0
Synovus Bank,"21,188,586",395238,0
Bank of Dawson,"99,535",193537,0
Bank of Eastman,"173,497",204237,0
The Brand Banking Company,"1,472,974",701736,0
Farmers State Bank,"99,397",773032,0
The Citizens State Bank of Taylor County,"35,883",960533,0
The Bank of Soperton,"30,908",260831,0
Citizens Bank,"432,235",126834,0
The Bank of Forest,"118,306",642437,0
The Gerber State Bank,"75,783",663638,0
Byron Bank,"202,112",325534,0
Amalgamated Bank of Chicago,"693,855",397531,0
The Northern Trust Company,"33,503,871",210434,0
The National Republic Bank of Chicago,"1,004,886",215130,1
Community Banks of Shelby County,"40,425",102539,0
Farmers & Mechanics Bank,"238,456",744238,0
The State Bank of Geneva,"76,991",991135,0
Peoples National Bank of Kewanee,"209,454",823133,1
Citizens State Bank of Milford,"47,686",771047,0
State Bank of Niantic,"46,415",784944,0
Sumner National Bank of Sheldon,"14,988",583745,1
Tuscola National Bank,"71,198",598646,1
Citizens First State Bank of Walnut,"50,291",476342,0
Iowa State Bank,"214,123",734248,0
Cherokee State Bank,"159,332",205542,0
Bankers Trust Company,"2,239,684",811046,0
First National Bank,"180,117",617743,1
Fort Madison Bank & Trust Co.,"127,754",624246,0
Glenwood State Bank,"152,285",566243,0
United Bank of Iowa,"968,082",738040,0
First National Bank of Muscatine,"254,486",893248,1
The Home Trust & Savings Bank,"192,995",60545,0
Home State Bank,"33,205",472045,0
Security Trust & Savings Bank,"156,977",363648,0
Templeton Savings Bank,"93,675",366247,0
Blissfield State Bank,"80,533",937843,0
Tri-County Bank,"208,126",695349,0
Eastern Michigan Bank,"248,020",643340,0
Comerica Bank,"51,918,399",60143,0
G. W. Jones Exchange Bank,"57,613",540542,0
Mason State Bank,"92,905",49344,0
Chemical Bank,"5,191,554",542649,0
Isabella Bank,"1,025,054",74140,0
OSB Community Bank,"68,944",382742,0
ChoiceOne Bank,"406,847",324340,0
"Clare Bank, National Association","246,039",988144,1
Farmers Bank and Trust Company,"356,114",33147,0
FBT Bank & Mortgage,"103,876",314444,0
The Bank of Edwardsville,"1,415,179",219343,0
Midland States Bank,"1,392,822",773247,0
Bank & Trust Company,"228,386",496845,0
First National Bank of Steeleville,"157,026",129349,1
Citizens Bank,"21,627",535641,0
Central Bank,"210,208",924759,0
Midwest BankCentre,"888,694",657459,0
Wood & Huston Bank,"483,340",671558,0
Bremen Bank and Trust Company,"165,818",534653,0
Cass Commercial Bank,"574,591",177751,0
Jefferson Bank and Trust Company,"385,348",598954,0
Lindell Bank & Trust Company,"366,699",185859,0
Southern Commercial Bank,"443,186",420457,0
The Bank of Versailles,"194,249",625850,0
Upper Peninsula State Bank,"159,828",236957,0
The State Bank of Ewen,"46,055",240459,0
Baybank,"73,506",242958,0
Central Savings Bank,"220,880",382050,0
Root River State Bank,"62,104",309851,0
Clinton State Bank,"57,521",341851,0
Peoples State Bank of Plainview,"153,408",786555,0
First Interstate Bank,"6,108,947",659855,0
The State Bank of Townsend,"46,680",566953,0
State Bank of Alcester,"85,209",271154,0
American Bank & Trust,"317,533",275358,0
"Citizens State Bank, of Arlington","90,436",274856,0
First Fidelity Bank,"293,537",80150,0
Merchants State Bank,"119,053",289757,0
Peoples State Bank of Bloomer,"101,469",210555,0
The Colorado Bank and Trust Company of La Junta,"90,445",285151,0
The Morrill and Janes Bank and Trust Company,"644,495",680354,0
The Peoples Bank,"295,356",530655,0
Alterra Bank,"173,458",50957,0
Fidelity State Bank and Trust Company,"81,102",55653,0
Wahoo State Bank,"58,457",662350,0
The Citizens Bank,"544,758",961259,0
The First Bank of Okarche,"60,006",918150,0
Uinta Bank,"93,532",85052,0
First State Bank of Newcastle,"127,230",87159,0
Sundance State Bank,"136,744",94755,0
"First Star Bank, S.S.B.","190,132",105053,0
"The Bank and Trust, S.S.B.","353,093",623454,0
Arrowhead Bank,"120,858",570558,0
"Guaranty Bond Bank, National Association","964,013",112163,1
"Commercial Bank of Texas, National Association","437,674",885869,1
Vista Bank,"214,183",645465,0
The Roscoe State Bank,"134,856",33268,0
First State Bank,"107,033",407168,0
Wellington State Bank,"216,075",371362,0
Farmers and Merchants Bank of Long Beach,"3,836,335",871769,0
Ireland Bank,"190,564",428462,0
Gunnison Valley Bank,"67,284",805670,0
Cashmere Valley Bank,"1,126,667",574976,0
Washington Trust Bank,"3,810,291",58971,0
Farmers Bank & Trust Company,"708,517",12946,0
First National Banking Company,"270,063",100843,1
Farmers Bank,"146,349",325141,0
Little River Bank,"36,108",50546,0
Evolve Bank & Trust,"192,806",592448,0
Farmers & Merchants Bank of Central California,"1,694,228",808260,0
Citizens State Bank,"59,767",525156,0
Peoples Bank and Trust Company,"340,175",153353,0
Bank of Montgomery,"164,739",684455,0
The Bank of Commerce,"45,418",103134,0
Citizens Bank & Trust Company,"197,046",357937,0
Bank of Ringgold,"51,931",989655,0
Feliciana Bank & Trust Company,"92,235",879439,0
State Bank of Belle Plaine,"91,304",145750,0
Mills Resolute Bank,"17,083",799359,0
Ormsby State Bank,"24,571",845452,0
Lakes State Bank,"103,861",1898419,0
Lake Area Bank,"234,940",987053,0
Arlington State Bank,"48,565",270353,0
Minnwest Bank Central,"232,539",699552,0
Frandsen Bank & Trust,"1,226,733",751656,0
State Bank of Danvers,"40,795",283157,0
Citizens Alliance Bank,"400,474",279954,0
State Bank of Park Rapids,"87,836",169952,0
Kensington Bank,"94,726",58757,0
Minnwest Bank South,"168,429",772558,0
Farmers State Bank of Darwin,"34,617",344852,0
KleinBank,"1,319,330",303550,0
Northwoods Bank of Minnesota,"92,884",284752,1
Farmers State Bank of Elkton,"50,850",41759,0
Woodlands National Bank,"116,771",980951,1
Bank of Weston,"106,535",393355,0
Cabool State Bank,"54,629",641047,0
CBC Bank,"31,219",380841,0
Focus Bank,"493,302",498148,0
United Security Bank,"43,695",630340,0
Town & Country Bank,"115,201",738255,0
Exchange Bank,"339,644",492650,0
Ashton State Bank,"20,815",336950,0
Countryside Bank,"60,595",474357,0
American Interstate Bank,"96,097",547251,0
Bank of Holland,"84,045",941804,0
Bank of Crockett,"120,198",324854,0
Peoples Bank & Trust Company,"71,724",28732,0
First State Bank,"1,516,663",126254,0
The Farmers & Merchants Bank,"83,858",70058,0
Bank of Frankewing,"189,332",166531,0
First Farmers and Merchants Bank,"936,077",150035,0
Dilley State Bank,"104,890",575656,0
Security State Bank,"383,956",839068,0
Citizens State Bank of La Crosse,"109,531",447557,0
Markesan State Bank,"139,568",489641,0
First Security Bank,"545,323",633154,0
De Witt Bank and Trust Company,"123,292",460341,0
Bank of McCrory,"75,318",898140,0
Diamond Bank,"372,057",27847,0
Southern Bancorp Bank,"902,089",852544,0
Bank of Stockton,"1,756,389",479268,0
"First National Bank, Ames, Iowa","486,399",820048,1
Iowa Trust and Savings Bank,"131,140",202541,0
Central State Bank,"176,121",678744,0
Central State Bank,"366,549",830542,0
The Shelby County State Bank,"221,926",536349,0
State Bank of Bussey,"42,550",750444,0
Peoples Bank,"44,916",519445,0
The Peoples Bank,"90,358",76443,0
"Comerica Bank & Trust, National Association",515,772446,1
Firstbank,"1,045,412",960841,0
Farmers and Merchants State Bank of Blooming Prairie,"67,870",334657,0
First Farmers & Merchants State Bank,"70,772",276654,0
Security Bank USA,"97,919",950758,0
The Bank of Elk River,"330,031",10250,0
First State Bank of Wyoming,"126,488",222156,0
The State Bank of Faribault,"151,428",46053,0
"Carroll County Trust Company of Carrollton, Missouri","105,350",490843,0
Sherwood Community Bank,"33,881",887854,0
Exchange Bank of Missouri,"106,088",686459,0
The Bank of Missouri,"789,947",330855,0
Farmers State Bank Stanberry,"49,092",376657,0
First Security Bank,"21,913",322551,0
Bank of Belton,"43,438",566458,0
Mid America Bank & Trust Company,"123,271",894151,0
Summit Bank of Kansas City,"42,396",3386983,0
Bank of Kirksville,"437,871",796451,0
